"Location","Vel_dir","Height","H_m","Width","Source","direction.deg","payload","Distance_m","Nom_WS"
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 4m 3m-s",0.562787122082554,2,4,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 4m 3m-s",16.3290772300775,2,4,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 4m 4.5m-s",34.6873955474506,2,4,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 4m 4.5m-s",6.98946531039623,2,4,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 4m 4.5m-s",323.083058342418,2,4,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 4m 4.5m-s",343.781432577048,2,4,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 4m 4.5m-s",2.44495549608482,2,4,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 4m 4.5m-s",15.3246948015173,2,4,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 4m 4.5m-s",339.377058171084,2,4,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 4m 4.5m-s",358.455829227173,2,4,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 4m 4.5m-s",15.9778613697306,2,4,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw +3m 1.5m-s",24.9322942970728,2,3,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw +3m 1.5m-s",350.886743387265,2,3,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw +3m 1.5m-s",345.478144929638,2,3,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw +3m 1.5m-s",9.78594697491369,2,3,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw +3m 1.5m-s",354.443828337689,2,3,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw +3m 1.5m-s",315.437142299179,2,3,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw +3m 1.5m-s",344.958592537011,2,3,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw +3m 1.5m-s",13.8605955266289,2,3,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw +3m 1.5m-s",26.1861096144791,2,3,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw +3m 3m-s",25.0080286023388,2,3,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw +3m 3m-s",359.998718192772,2,3,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw +3m 3m-s",329.797680528637,2,3,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw +3m 3m-s",344.429629620471,2,3,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw +3m 3m-s",5.88863740086236,2,3,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw +3m 3m-s",7.74362455859131,2,3,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw +3m 3m-s",341.393873898617,2,3,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw +3m 3m-s",2.56460922328931,2,3,3
